sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
305,13,3,1,1,5,15.0,45.0,1035.920890413232,648.5701371322657,6.5,1036.0,649.0,6.2310683000361,-0.26893169996390043,0.26893169996390043,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,222.8321366779388,224.15560116195883,2.64023300000008
306,13,3,1,2,1,5.0,47.5,990.87461239027,675.0484604509743,6.5,991.0,675.0,6.473694927193794,-0.026305072806206198,0.026305072806206198,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,174.73806434106575,179.45836407672303,2.579736200001207
307,13,3,1,2,2,7.5,47.5,1003.1645412564014,671.6354865420814,6.5,1003.0,672.0,7.011821851756786,0.5118218517567863,0.5118218517567863,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,205.01661461623257,208.61951061320542,2.8785023000000365
308,13,3,1,2,3,10.0,47.5,1015.5163763861866,668.2053209582037,6.5,1016.0,668.0,6.944844369889843,0.444844369889843,0.444844369889843,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,171.14051796191583,175.09179983034528,2.511271299999862
309,13,3,1,2,4,12.5,47.5,1027.9305867077273,664.7578334756934,6.5,1028.0,665.0,6.314487312039905,-0.18551268796009523,0.18551268796009523,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,179.55739584271868,181.41824505343726,2.574499599999399
310,13,3,1,2,5,15.0,47.5,1040.4076458971685,661.2928925523466,6.5,1040.0,661.0,6.254140740498873,-0.24585925950112664,0.24585925950112664,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,197.04933405830747,200.94593583961816,2.453370899998845
311,13,3,1,3,1,5.0,50.0,995.3548377435802,687.606690524595,6.5,995.0,688.0,7.119932684346013,0.6199326843460131,0.6199326843460131,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,217.54453689232074,222.28296923931885,2.442967499999213
312,13,3,1,3,2,7.5,50.0,1007.6443460780775,684.2284755886765,6.5,1008.0,684.0,7.0519545236922605,0.5519545236922605,0.5519545236922605,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,275.55444963041435,283.5930053924345,2.5733392000001913
313,13,3,1,3,3,10.0,50.0,1019.9956996522351,680.8332602564321,6.5,1020.0,681.0,6.991835873039168,0.4918358730391681,0.4918358730391681,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,224.22397899829522,228.28101158675975,2.473926800001209
314,13,3,1,3,4,12.5,50.0,1032.4093664850102,677.420915875959,6.5,1032.0,677.0,6.947728005565884,0.4477280055658843,0.4477280055658843,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,237.5688178158311,243.64337616015382,2.6146678000004613
315,13,3,1,3,5,15.0,50.0,1044.885819329665,673.99131249396,6.5,1045.0,674.0,6.27639762454383,-0.2236023754561698,0.2236023754561698,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,235.652739646952,241.4777929287006,2.45268230000147
316,13,3,1,4,1,5.0,52.5,999.826587379146,700.1411628617002,6.5,1000.0,700.0,7.715362015749355,1.2153620157493554,1.2153620157493554,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,223.8822931400682,229.4364415210306,2.6241317999993043
