sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
440,18,3,6,3,5,115.0,50.0,1509.0145315364334,692.0827320319885,4.0,1509.0,692.0,3.661389420021761,-0.33861057997823885,0.33861057997823885,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,186.7921355424104,189.22292012960554,2.49290529999962
441,18,3,6,4,1,105.0,52.5,1433.7683984801984,704.893903077158,4.0,1434.0,705.0,3.4466921260247063,-0.5533078739752937,0.5533078739752937,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,140.92537175738622,141.895695328017,2.5667736999994304
442,18,3,6,4,2,107.5,52.5,1452.1558541135994,706.0625990145683,4.0,1452.0,706.0,3.401952037058715,-0.5980479629412851,0.5980479629412851,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,163.11693696672955,166.14179254601245,2.5427128000001176
443,18,3,6,4,3,110.0,52.5,1470.6331831063678,707.2370072501928,4.0,1471.0,707.0,3.8326662897674364,-0.1673337102325636,0.1673337102325636,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,154.57448609215874,158.69398658201115,2.480851199999961
444,18,3,6,4,4,112.5,52.5,1489.2010459910675,708.4171697670953,4.0,1489.0,708.0,3.784046907391763,-0.21595309260823692,0.21595309260823692,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,145.7821728736635,148.6198937105853,2.4435418000002755
445,18,3,6,4,5,115.0,52.5,1507.8601097890194,709.6031289607606,4.0,1508.0,710.0,3.7367580907334466,-0.26324190926655344,0.26324190926655344,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,177.58958128369045,180.35314294534066,2.853367299999263
446,18,3,6,5,1,105.0,55.0,1432.7867530593212,722.1800783099418,4.0,1433.0,722.0,3.518544027034575,-0.4814559729654251,0.4814559729654251,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,152.2200299510249,154.78556443722186,2.3754310000003898
447,18,3,6,5,2,107.5,55.0,1451.1328406825785,723.388349663984,4.0,1451.0,723.0,3.9563413942058534,-0.0436586057941466,0.0436586057941466,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,172.18473800881196,175.71268621276008,2.5817207000000053
448,18,3,6,5,3,110.0,55.0,1469.568408909387,724.6025142009343,4.0,1470.0,725.0,4.391265452366029,0.39126545236602883,0.39126545236602883,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,193.69597496759326,196.71562880737713,2.4928334000005634
449,18,3,6,5,4,112.5,55.0,1488.0941139847437,725.8226151410174,4.0,1488.0,726.0,3.8640648587712807,-0.1359351412287193,0.1359351412287193,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,203.38726757089927,207.80971193087342,2.5077266999996937
