sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
284,12,2,6,2,4,112.5,27.5,1546.0483744967714,489.4902941677221,7.0,1546.0,489.0,6.749608605085821,-0.25039139491417917,0.25039139491417917,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,227.90137001522004,232.51061108507577,2.601045299990801
285,12,2,6,2,5,115.0,27.5,1566.2483926004109,489.50584222317644,7.0,1566.0,490.0,7.271864947298886,0.27186494729888633,0.27186494729888633,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,298.8467573801677,306.28731723360687,2.4941598000004888
286,12,2,6,3,1,105.0,30.0,1485.9708672817733,508.41348209453656,7.0,1486.0,508.0,6.786866291899697,-0.21313370810030285,0.21313370810030285,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,142.44579883454338,145.1890109964403,2.5554954999970505
287,12,2,6,3,2,107.5,30.0,1505.853042307043,508.4742020182264,7.0,1506.0,508.0,7.31277984640444,0.3127798464044398,0.3127798464044398,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,153.40892226506793,157.6115723278964,2.612020999993547
288,12,2,6,3,3,110.0,30.0,1525.8306494222895,508.5352133903725,7.0,1526.0,509.0,6.767638751865812,-0.2323612481341879,0.2323612481341879,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,160.64449185870942,162.43304322652588,2.8857197999896016
289,12,2,6,3,4,112.5,30.0,1545.9043773745916,508.5965183144005,7.0,1546.0,509.0,6.227259032174009,-0.7727409678259907,0.7727409678259907,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,200.7682993934268,203.98671196402407,2.879892299999483
290,12,2,6,3,5,115.0,30.0,1566.0749215547264,508.6581189140251,7.0,1566.0,509.0,7.285196431513561,0.2851964315135609,0.2851964315135609,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,230.06227474111728,234.52141574531916,2.4480235999944853
291,12,2,6,4,1,105.0,32.5,1485.9137824128718,527.328763411369,7.0,1486.0,527.0,7.333445807840534,0.33344580784053424,0.33344580784053424,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,187.89039457765205,192.1425157986114,2.5512084000074537
292,12,2,6,4,2,107.5,32.5,1505.7673991915465,527.4346186686944,7.0,1506.0,527.0,7.322897476646535,0.3228974766465349,0.3228974766465349,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,221.25026890588185,224.92462664642713,2.6277100000006612
293,12,2,6,4,3,110.0,32.5,1525.7161744323419,527.5409812906781,7.0,1526.0,528.0,7.312922130704404,0.3129221307044041,0.3129221307044041,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,164.41681347044687,167.0977133356189,2.661879699997371
294,12,2,6,4,4,112.5,32.5,1545.7607939210618,527.6478549337843,7.0,1546.0,528.0,6.7696360919801055,-0.23036390801989448,0.23036390801989448,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,240.02247278728183,246.68713112625153,2.6720935000048485
295,12,2,6,4,5,115.0,32.5,1565.9019500491188,527.7552432896963,7.0,1566.0,528.0,6.763329959664108,-0.23667004033589212,0.23667004033589212,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,332.8803710069606,341.03836077180677,2.6882240999984788
296,12,2,6,5,1,105.0,35.0,1485.856860129639,546.1901713689367,7.0,1486.0,546.0,6.80938632139062,-0.19061367860938017,0.19061367860938017,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,235.9386865514927,240.77829207880464,2.6174592999886954
297,12,2,6,5,2,107.5,35.0,1505.68200058192,546.3409044861871,7.0,1506.0,546.0,6.799051110947317,-0.20094888905268338,0.20094888905268338,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,188.68400693116365,192.71491657585798,2.481935700008762
